source_no,name_ko,name_en,cas_no,physical_state,flash_point
1,"1,3-부타디엔","1,3-BUTADIENE",106-99-0,기체(가스),-76℃
2,1-부텐,1-BUTENE,106-98-9,-,인화성가스
3,1-도데센,1-DODECENE,112-41-4,액체,77℃
4,1-니트로프로판,1-NITROPROPANE,108-03-2,액체,36℃
5,1-노난올,1-Nonanol,143-08-8,액체,74℃
6,1-옥텐,1-OCTENE,111-66-0,액체,10℃
7,1-테트라데센,1-TETRADECENE,1120-36-1,액체,107℃
8,"1,4-부탄디올","1,4-BUTANEDIOL",110-63-4,액체,>121℃
9,"1,3-펜타디엔","1,3-PENTADIENE",504-60-9,액체,28℃
10,2-에틸 헥산올,2-ETHYL HEXANOL,104-76-7,액체,73℃
11,2-에틸헥산올옥탄올,2-ETHYL HEXANOL OCTANOL,104-76-7,액체,73℃
12,2-에틸헥실알코올,2-ETHYL HEXYL ALCOHOL,104-76-7,액체,73℃
13,2-에틸헥실 아크릴산,2-ETHYLHEXYL ACRYLATE,103-11-7,액체,86℃
