berth_id,wharf_name,berth_no,berth_name,ownership_prefix,length_m,quay_structure,water_depth_m,water_depth_is_range,capacity_value,capacity_unit,capacity_suspect,unload_value,unload_unit,handling_cargo_name,operator_name,address,built_year,built_by,quay_length_raw,water_depth_raw,capacity_raw,unload_raw,port_code,spec_source,concurrent_vessels,port_name,note,name_source,length_basis
가스부두-1선석,가스부두,1.0,가스부두1선석,,,중력식,7.5,False,1000.0,DWT,False,,,가스 및 연료 등,SK가스(주),울산광역시 남구 용잠동 60-16번지,1988.0,국가,360m(중력식),7.5m,"1,000DWT / 1척",,PORT0000000041,UPA_WEB,,,,UPA_API,WHARF_TOTAL
가스부두-2선석,가스부두,2.0,가스부두2선석,,,중력식,7.5,False,5000.0,DWT,False,,,가스 및 연료 등,SK가스(주),울산광역시 남구 용잠동 60-16번지,1988.0,국가,360m(중력식),7.5m,"5,000DWT / 1척",,PORT0000000042,UPA_WEB,,,,UPA_API,WHARF_TOTAL
가스부두-3선석,가스부두,3.0,가스부두3선석,,,중력식,7.5,False,8000.0,DWT,False,,,가스 및 연료 등,SK가스(주),울산광역시 남구 용잠동 60-16번지,1988.0,국가,360m(중력식),7.5m,"8,000DWT / 1척",,PORT0000000043,UPA_WEB,,,,UPA_API,WHARF_TOTAL
남화부두-1선석,남화부두,1.0,남화부두1선석,,,중력식,7.0,False,3000.0,DWT,False,,,해양 배출폐기물 처리,울산항만공사,울산광역시 남구 용잠동 67번지 일원,2005.0,국가,150m(중력식),7m,"3,000DWT / 2척",,PORT0000000044,UPA_WEB,,,,UPA_API,WHARF_TOTAL
남화부두-2선석,남화부두,2.0,남화부두2선석,,,중력식,7.0,False,3000.0,DWT,False,,,해양 배출폐기물 처리,울산항만공사,울산광역시 남구 용잠동 67번지 일원,2005.0,국가,150m(중력식),7m,"3,000DWT / 2척",,PORT0000000045,UPA_WEB,,,,UPA_API,WHARF_TOTAL
석탄부두,석탄부두,,석탄부두,,270.0,잔교식,12.0,False,40000.0,DWT,False,1544.0,천 톤,석탄,CJ대한통운,울산광역시 남구 여천동 187-10,1984.0,국가,270m(잔교식),12m,"40,000DWT / 1척","1,544천 톤",PORT0000000046,UPA_WEB,,,,UPA_API,BERTH
양곡부두,양곡부두,,양곡부두,,185.0,잔교식,,False,50000.0,DWT,False,1674.0,천 톤,"당류, 양곡류 등",태영인더스트리,울산광역시 남구 용잠동 1-4번지,1986.0,국가,185m(잔교식),,"50,000DWT / 1척","1,674천 톤",PORT0000000047,UPA_WEB,,,,UPA_API,BERTH
염포부두-1선석,염포부두,1.0,염포부두1선석,,,중력식,12.0,False,30000.0,DWT,False,2819.0,천 톤,"철강,차량 및 부품 등",대주중공업,울산광역시 동구 방어동 1292번지 일원,1983.0,국가,810m(중력식),12m,"30,000DWT / 3척","2,819천 톤",PORT0000000048,UPA_WEB,,,,UPA_API,WHARF_TOTAL
염포부두-2선석,염포부두,2.0,염포부두2선석,,,중력식,12.0,False,30000.0,DWT,False,2819.0,천 톤,"철강,차량 및 부품 등",대주중공업,울산광역시 동구 방어동 1292번지 일원,2009.0,국가,810m(중력식),12m,"30,000DWT / 3척","2,819천 톤",PORT0000000049,UPA_WEB,,,,UPA_API,WHARF_TOTAL
염포부두-3선석,염포부두,3.0,염포부두3선석,,,중력식,12.0,False,30000.0,DWT,False,2819.0,천 톤,"철강,차량 및 부품 등",동방,울산광역시 동구 방어동 1292번지 일원,2012.0,국가,810m(중력식),12m,"30,000DWT / 3척","2,819천 톤",PORT0000000050,UPA_WEB,,,,UPA_API,WHARF_TOTAL
용잠1부두,용잠1부두,,용잠1부두,,88.0,중력식,7.0,False,3000.0,DWT,False,930.0,천 톤,석유정제품 등,태영인더스트리,울산광역시 남구 용잠동 484번지 일원,1983.0,국가,88m(중력식),7m,"3,000DWT / 1척",930천 톤,PORT0000000051,UPA_WEB,,,,UPA_API,BERTH
용잠2부두,용잠2부두,,용잠3부두,,155.0,중력식,7.0,False,3000.0,DWT,False,930.0,천 톤,석유정제품 등,태영인더스트리,울산광역시 남구 용잠동 484번지 일원,1979.0,국가,155m(중력식),7m,"3,000DWT / 1척",930천 톤,PORT0000000052,UPA_WEB,,,,UPA_API,BERTH
일반부두-1선석,일반부두,1.0,일반부두1선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000053,UPA_WEB,,,,UPA_API,WHARF_TOTAL
일반부두-2선석,일반부두,2.0,일반부두2선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000054,UPA_WEB,,,,UPA_API,WHARF_TOTAL
일반부두-3선석,일반부두,3.0,일반부두3선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000055,UPA_WEB,,,,UPA_API,WHARF_TOTAL
일반부두-4선석,일반부두,4.0,일반부두4선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000056,UPA_WEB,,,,UPA_API,WHARF_TOTAL
일반부두-5선석,일반부두,5.0,일반부두5선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000057,UPA_WEB,,,,UPA_API,WHARF_TOTAL
일반부두-6선석,일반부두,6.0,일반부두6선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000058,UPA_WEB,,,,UPA_API,WHARF_TOTAL
일반부두-7선석,일반부두,7.0,일반부두7선석,,,중력식,7.0,False,,DWT,False,2056.0,천 톤,"모래, 철강,석유정제품 등",울산항만공사,울산광역시 남구 매암동 139번지 일원,1979.0,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",PORT0000000059,UPA_WEB,,,,UPA_API,WHARF_TOTAL
