wharf_name,facility_cd,facility_sub_code,port_name,address,berthing_vessel_count,min_water_depth_m,max_water_depth_m,min_capacity_dwt,max_capacity_dwt,min_length_m,max_length_m,total_quay_length_m,name_source,operator_count,spec_spread_flag,built_year,built_by,latitude,longitude,berth_count,depth_floored
세방신항부두,,,울산신항,울산광역시 울주군 온산읍 산암리 983번지,1.0,14.0,14.0,20000.0,20000.0,240.0,240.0,240.0,UPA_WEB,1,False,2013.0,민간,,,1,False
신항남방파제 T/S부두,MBF,01,울산신항,울산광역시 울주군 온산읍 산암리 수역,2.0,16.0,16.0,50000.0,50000.0,,,540.0,UPA_API,1,False,2009.0,국가,35.43875,129.37811,2,False
신항북방파제 T/S부두,MBF,03,울산신항,울산광역시 남구 황성동 수역,2.0,16.0,16.0,30000.0,30000.0,,,503.0,UPA_API,1,False,2012.0,국가,35.46069,129.38432,2,False
신항일반부두,MBN,01,울산신항,울산광역시 남구 황성동 829번지,2.0,12.0,12.0,20000.0,20000.0,,,340.0,UPA_API,1,False,2009.0,국가,35.45787,129.36086,2,False
신항작업부두,,,울산신항,울산광역시 남구 황성동,7.0,7.0,7.0,3000.0,3000.0,140.0,140.0,140.0,UPA_WEB,1,False,1998.0,국가,,,1,False
신항컨부두,MBC,01,울산신항,"울산광역시 남구 황성동 830, 831번지",,12.0,14.0,30000.0,30000.0,,,920.0,UPA_API,1,False,2009.0,민간,35.45574,129.3667,4,True
양곡부두,MBA,01,울산본항,울산광역시 남구 용잠동 1-4번지,1.0,,,50000.0,50000.0,185.0,185.0,185.0,UPA_API,1,False,1986.0,국가,35.4966,129.3810001,1,False
염포부두,MBP,01,울산본항,울산광역시 동구 방어동 1292번지 일원,3.0,12.0,12.0,30000.0,30000.0,,,810.0,UPA_API,2,False,1983.0,국가,35.5165,129.39589,3,False
온산1부두,MBO,01,온산항,울산광역시 울주군 온산읍 산암리 143번지 일원,1.0,11.0,11.0,20000.0,20000.0,270.0,270.0,270.0,UPA_API,1,False,1993.0,국가,35.43851,129.35667,1,False
온산2부두,MBO,02,온산항,울산광역시 울주군 온산읍 산암리 143번지 일원,1.0,11.0,11.0,20000.0,20000.0,210.0,210.0,210.0,UPA_API,1,False,1981.0,국가,35.43942,129.35947,1,False
온산3부두,MBO,03,온산항,울산광역시 울주군 온산읍 산암리 143-20,1.0,12.0,12.0,20000.0,20000.0,230.0,230.0,230.0,UPA_API,1,False,1991.0,국가,35.44046,129.36247,1,False
온산4부두,MBO,04,온산항,울산광역시 울주군 온산읍 산암리 143번지 일원,1.0,11.0,11.0,20000.0,20000.0,210.0,210.0,210.0,UPA_API,1,False,1992.0,국가,35.44104,129.36447,1,False
용연부두,MBN,26,울산신항,울산광역시 남구 황성동 380번지,2.0,12.0,14.0,20000.0,30000.0,150.0,450.0,600.0,UPA_API,1,True,2016.0,울산항만공사,35.46097,129.37188,2,True
용잠1부두,MBY,01,울산본항,울산광역시 남구 용잠동 484번지 일원,1.0,7.0,7.0,3000.0,3000.0,88.0,88.0,88.0,UPA_API,1,False,1983.0,국가,35.499009,129.3758,1,False
용잠2부두,MBY,01,울산본항,울산광역시 남구 용잠동 484번지 일원,1.0,7.0,7.0,3000.0,3000.0,155.0,155.0,155.0,UPA_API,1,False,1979.0,국가,35.499009,129.3758,1,False
일반부두,MBG,01,울산본항,울산광역시 남구 매암동 139번지 일원,7.0,7.0,7.0,1000.0,5000.0,,,679.0,UPA_API,1,True,1979.0,국가,35.50793,129.386092,7,False
자동차부두,MBJ,01,울산본항,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1.0,11.5,11.5,40000.0,40000.0,,,830.0,UPA_API,1,False,1987.0,국가,35.5231,129.3912,3,False
정일1부두,MDG,01,온산항,울산광역시 울주군 온산읍 산암리 수역,2.0,11.0,11.0,3000.0,40000.0,,,354.0,UPA_API,1,True,1988.0,민간,35.44271,129.36628,2,False
정일2부두,MDG,02,온산항,울산광역시 울주군 온산읍 산암리 수역,2.0,12.5,12.5,20000.0,40000.0,,,256.0,UPA_API,1,True,2002.0,민간,35.44606,129.36686,2,False
정일스톨트헤븐 울산신항3부두,MBN,13,울산신항,울산광역시 온산읍 산암리 984번지 일원,1.0,14.0,14.0,50000.0,50000.0,270.0,270.0,270.0,UPA_API,1,False,2013.0,민간,35.43842,129.36646,1,False
정일스톨트헤븐 울산신항4부두,MBN,14,울산신항,울산광역시 온산읍 산암리 984번지 일원,1.0,14.0,14.0,50000.0,50000.0,270.0,270.0,270.0,UPA_API,1,False,2012.0,민간,35.44092,129.36777,1,False
정일스톨트헤븐 울산신항5부두,MBN,15,울산신항,울산광역시 온산읍 산암리 984번지 일원,1.0,14.0,14.0,50000.0,50000.0,270.0,270.0,270.0,UPA_API,1,False,2012.0,민간,35.44359,129.36921,1,False
정일컨부두,MBO,05,온산항,울산광역시 울주군 온산읍 산암리 150번지 일원,1.0,12.0,12.0,20000.0,20000.0,220.0,220.0,220.0,UPA_API,1,False,1997.0,민간,35.44159,129.35464,1,False
한진신항부두,MBN,18,울산신항,울산광역시 울주군 온산읍 이진리 274번지,1.0,14.0,14.0,20000.0,20000.0,210.0,210.0,210.0,UPA_API,1,False,2012.0,민간,35.43358,129.37077,1,False
현대오일터미널 신항2부두,MBN,12,울산신항,울산광역시 울주군 온산읍 산암리 978번지,1.0,14.0,14.0,50000.0,50000.0,270.0,270.0,270.0,UPA_API,1,False,2013.0,민간,35.44582,129.3717,1,False
효성부두,MBO,06,온산항,울산광역시 울주군 온산읍 산암리 150번지 일원,1.0,12.0,12.0,30000.0,30000.0,240.0,240.0,240.0,UPA_API,1,False,1997.0,민간,35.4427,129.3569,1,False
