port_code,seq,list_name,list_address,list_operator,list_built_year,port_gubun,부두/선석명,소재지,준공년도,준공주체,안벽길이,수심,접안능력,하역능력,운영사,주요취급화물,fetched_at_utc
PORT0000000046,46,석탄부두,울산광역시 남구 여천동 187-10,CJ대한통운,1984,울산본항,석탄부두,울산광역시 남구 여천동 187-10,1984,국가,270m(잔교식),12m,"40,000DWT / 1척","1,544천 톤",CJ대한통운,석탄,2026-09-19T13:59:08.119569+00:00
PORT0000000047,47,양곡부두,울산광역시 남구 용잠동 1-4번지,태영인더스트리,1986,울산본항,양곡부두,울산광역시 남구 용잠동 1-4번지,1986,국가,185m(잔교식),,"50,000DWT / 1척","1,674천 톤",태영인더스트리,"당류, 양곡류 등",2026-09-19T13:59:08.119569+00:00
PORT0000000048,48,염포부두1선석,울산광역시 동구 방어동 1292번지 일원,대주중공업,1983,울산본항,염포부두1선석,울산광역시 동구 방어동 1292번지 일원,1983,국가,810m(중력식),12m,"30,000DWT / 3척","2,819천 톤",대주중공업,"철강,차량 및 부품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000049,49,염포부두2선석,울산광역시 동구 방어동 1292번지 일원,대주중공업,2009,울산본항,염포부두2선석,울산광역시 동구 방어동 1292번지 일원,2009,국가,810m(중력식),12m,"30,000DWT / 3척","2,819천 톤",대주중공업,"철강,차량 및 부품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000050,50,염포부두3선석,울산광역시 동구 방어동 1292번지 일원,동방,2012,울산본항,염포부두3선석,울산광역시 동구 방어동 1292번지 일원,2012,국가,810m(중력식),12m,"30,000DWT / 3척","2,819천 톤",동방,"철강,차량 및 부품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000051,51,용잠1부두,울산광역시 남구 용잠동 484번지 일원,태영인더스트리,1983,울산본항,용잠1부두,울산광역시 남구 용잠동 484번지 일원,1983,국가,88m(중력식),7m,"3,000DWT / 1척",930천 톤,태영인더스트리,석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000052,52,용잠3부두,울산광역시 남구 용잠동 484번지 일원,태영인더스트리,1979,울산본항,용잠3부두,울산광역시 남구 용잠동 484번지 일원,1979,국가,155m(중력식),7m,"3,000DWT / 1척",930천 톤,태영인더스트리,석유정제품 등,2026-09-19T13:59:08.119569+00:00
PORT0000000053,53,일반부두1선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두1선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000054,54,일반부두2선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두2선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000055,55,일반부두3선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두3선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000056,56,일반부두4선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두4선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000057,57,일반부두5선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두5선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000058,58,일반부두6선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두6선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000059,59,일반부두7선석,울산광역시 남구 매암동 139번지 일원,울산항만공사,1979,울산본항,일반부두7선석,울산광역시 남구 매암동 139번지 일원,1979,국가,679m(중력식),7m,"5,000DWT / 2척1,000DWT / 5척","2,056천 톤",울산항만공사,"모래, 철강,석유정제품 등",2026-09-19T13:59:08.119569+00:00
PORT0000000060,60,자동차부두1선석,"울산광역시 동구 방어동 1178, 1181~2번지 일원",현대자동차,1987,울산본항,자동차부두1선석,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1987,국가,830m(잔교식),11.5m,"40,000DWT / 1척","9,425천 톤",현대자동차,차량 및 부품,2026-09-19T13:59:08.119569+00:00
PORT0000000061,61,자동차부두2선석,"울산광역시 동구 방어동 1178, 1181~2번지 일원",현대자동차,1987,울산본항,자동차부두2선석,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1987,국가,830m(잔교식),11.5m,"40,000DWT / 1척","9,425천 톤",현대자동차,차량 및 부품,2026-09-19T13:59:08.119569+00:00
PORT0000000062,62,자동차부두3선석,"울산광역시 동구 방어동 1178, 1181~2번지 일원",현대자동차,1996,울산본항,자동차부두3선석,"울산광역시 동구 방어동 1178, 1181~2번지 일원",1996,국가,830m(잔교식),11.5m,"40,000DWT / 1척","9,425천 톤",현대자동차,차량 및 부품,2026-09-19T13:59:08.119569+00:00
